,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,artist,song_name,cluster
152,0.642,0.775,10,-4.962,1,0.0475,0.0005,0.00561,0.053,0.421,124.993,Eric Prydz,Moody Mondays,0
153,0.742,0.634,0,-6.856,1,0.0653,0.00371,0.521,0.042,0.217,124.972,Eric Prydz,Proper Education - Club Mix,6
154,0.713,0.578,0,-8.13,1,0.0416,0.0245,0.706,0.0782,0.262,120.973,Eric Prydz,Liberate - Lane 8 Remix,6
155,0.534,0.874,0,-5.359,0,0.0285,0.000442,0.701,0.125,0.345,173.032,Eric Prydz,Pjanoo - High Contrast Remix,6
156,0.632,0.748,7,-5.105,0,0.0304,0.000222,0.924,0.651,0.617,126.012,Eric Prydz,Last Dragon,6
157,0.473,0.847,7,-7.663,0,0.0308,0.00279,0.892,0.128,0.0801,127.019,Eric Prydz,2Night,6
158,0.496,0.877,6,-6.617,1,0.0799,0.00016,0.486,0.208,0.116,126.029,Eric Prydz,In and Out - Eric Prydz Remix,0
159,0.646,0.808,3,-8.35,0,0.3,0.00208,0.084,0.722,0.192,126.286,Eric Prydz,Call On Me - Eric Prydz vs. Retarded Funk Mix,5
160,0.568,0.891,5,-6.105,1,0.0697,0.000919,0.843,0.298,0.324,126.0,Eric Prydz,Melo - Eric's Special Edit,6
161,0.608,0.83,5,-5.856,1,0.0329,0.000239,0.962,0.274,0.167,125.999,Eric Prydz,Collider,6
162,0.61,0.831,11,-5.807,0,0.0353,0.000956,0.87,0.202,0.521,125.985,Eric Prydz,Mighty Love - Instrumental,6
163,0.602,0.764,6,-8.928,0,0.0344,0.00202,0.904,0.12,0.141,125.978,Eric Prydz,Opus - Four Tet Remix,6
164,0.635,0.827,5,-5.625,1,0.0291,0.000441,0.938,0.0902,0.0753,127.004,Eric Prydz,Som Sas,6
165,0.48,0.875,7,-5.738,1,0.0405,0.00645,0.789,0.14,0.23,127.009,Eric Prydz,The Matrix,6
166,0.729,0.808,11,-7.961,0,0.142,0.000102,0.919,0.191,0.544,126.995,Eric Prydz,Slammin' (Original Mix),6
167,0.675,0.806,6,-12.482,1,0.094,0.0081,0.856,0.156,0.771,127.966,Eric Prydz,Woz Not Woz - Club Mix,6
168,0.608,0.972,10,-5.189,0,0.0404,5.53e-05,0.885,0.0919,0.235,128.005,Eric Prydz,Black Dyce,6
169,0.485,0.979,5,-4.025,1,0.0451,3.61e-05,0.914,0.11,0.0276,125.011,Eric Prydz,Mija - Re-scored,6
170,0.491,0.942,7,-5.333,1,0.132,0.156,0.0,0.367,0.387,100.446,Eve,Santa Monica,0
171,0.908,0.557,8,-4.243,0,0.107,0.242,0.0,0.0709,0.897,90.032,Eve,Let Me Blow Ya Mind,4
172,0.483,0.818,11,-7.666,1,0.0444,0.114,0.0,0.367,0.691,175.668,Eve,Inside Out,0
173,0.46,0.509,10,-7.666,1,0.0263,0.466,0.000434,0.122,0.194,77.613,James Blunt,Same Mistake,2
174,0.541,0.602,10,-6.033,1,0.0257,0.259,1.37e-06,0.125,0.446,81.32,James Blunt,High,1
175,0.687,0.518,1,-5.292,1,0.0305,0.759,0.0,0.17,0.564,124.023,James Blunt,Beside You - Acoustic,1
176,0.435,0.489,7,-7.519,1,0.0301,0.555,0.000246,0.107,0.178,169.861,James Blunt,Tears and Rain,0
177,0.453,0.655,9,-4.22,1,0.0259,0.0794,7.61e-06,0.0849,0.368,172.012,Keane,Somewhere Only We Know,0
178,0.515,0.835,0,-3.564,1,0.0293,0.00146,0.000235,0.101,0.457,94.015,Keane,Everybody's Changing,0
179,0.399,0.854,10,-4.97,0,0.0294,0.00107,3.96e-06,0.0893,0.872,172.478,Keane,Nothing In My Way,4
180,0.435,0.97,10,-3.612,0,0.0518,7.62e-05,5.65e-05,0.0778,0.401,124.305,Keane,Crystal Ball,4
181,0.478,0.586,9,-7.065,1,0.0363,0.398,0.0,0.11,0.386,143.986,Keane,Dirt,0
182,0.448,0.931,2,-4.747,1,0.0753,0.00543,0.0798,0.976,0.446,130.067,Keane,"Is It Any Wonder? - Live from Duisburg, Germany",5
183,0.177,0.663,9,-6.484,1,0.0347,0.0111,0.0,0.975,0.256,172.635,Keane,"Somewhere Only We Know - Live At The Forum, London / 2008",5
184,0.489,0.955,11,-2.771,0,0.0363,3.82e-05,0.000178,0.334,0.816,129.352,Keane,Is It Any Wonder?,4
