,artist,song_name,uri,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,track_href,analysis_url,duration_ms,time_signature
1542,Avril Lavigne,Anything but Ordinary,spotify:track:6STHWwMa2vbr1nKArQH7hd,0.652,0.671,9,-5.553,0,0.0372,0.0374,0.0,0.0856,0.635,123.004,audio_features,6STHWwMa2vbr1nKArQH7hd,https://api.spotify.com/v1/tracks/6STHWwMa2vbr1nKArQH7hd,https://api.spotify.com/v1/audio-analysis/6STHWwMa2vbr1nKArQH7hd,251493,4
1543,Avril Lavigne,Slipped Away,spotify:track:5AZhrTm9YUCOiA3Vl2hQji,0.449,0.621,7,-4.237,1,0.032,0.00274,4.2e-06,0.117,0.103,160.761,audio_features,5AZhrTm9YUCOiA3Vl2hQji,https://api.spotify.com/v1/tracks/5AZhrTm9YUCOiA3Vl2hQji,https://api.spotify.com/v1/audio-analysis/5AZhrTm9YUCOiA3Vl2hQji,214093,3
1544,Avril Lavigne,Girlfriend - Radio Edit,spotify:track:5xv4ggemGPNpowZAMwEYHH,0.551,0.964,7,-1.883,1,0.114,0.00104,0.000253,0.245,0.668,163.965,audio_features,5xv4ggemGPNpowZAMwEYHH,https://api.spotify.com/v1/tracks/5xv4ggemGPNpowZAMwEYHH,https://api.spotify.com/v1/audio-analysis/5xv4ggemGPNpowZAMwEYHH,216560,4
1545,Avril Lavigne,Innocence,spotify:track:5OuP08bgU2H7ZeDQQFQ6q8,0.389,0.711,1,-3.664,0,0.0343,0.148,0.0,0.202,0.337,137.756,audio_features,5OuP08bgU2H7ZeDQQFQ6q8,https://api.spotify.com/v1/tracks/5OuP08bgU2H7ZeDQQFQ6q8,https://api.spotify.com/v1/audio-analysis/5OuP08bgU2H7ZeDQQFQ6q8,232200,4
1546,Avril Lavigne,Bad Reputation,spotify:track:58ZYHG6xGz1Lx25FsvVH1A,0.468,0.985,6,-3.026,1,0.0395,3.81e-05,0.000528,0.167,0.927,103.017,audio_features,58ZYHG6xGz1Lx25FsvVH1A,https://api.spotify.com/v1/tracks/58ZYHG6xGz1Lx25FsvVH1A,https://api.spotify.com/v1/audio-analysis/58ZYHG6xGz1Lx25FsvVH1A,162267,3
1547,Avril Lavigne,I Fell In Love With The Devil,spotify:track:6HHtTXPyBTJsLQT0y3afnm,0.522,0.677,9,-7.165,1,0.0831,0.0235,0.0,0.195,0.215,135.906,audio_features,6HHtTXPyBTJsLQT0y3afnm,https://api.spotify.com/v1/tracks/6HHtTXPyBTJsLQT0y3afnm,https://api.spotify.com/v1/audio-analysis/6HHtTXPyBTJsLQT0y3afnm,255683,4
1548,Franz Ferdinand,Take Me Out,spotify:track:20I8RduZC2PWMWTDCZuuAN,0.277,0.663,4,-8.821,0,0.0377,0.000409,0.00051,0.136,0.527,104.561,audio_features,20I8RduZC2PWMWTDCZuuAN,https://api.spotify.com/v1/tracks/20I8RduZC2PWMWTDCZuuAN,https://api.spotify.com/v1/audio-analysis/20I8RduZC2PWMWTDCZuuAN,237027,4
1549,Franz Ferdinand,This fffire - New Version,spotify:track:46gSk82duJtX3TTA182ruG,0.442,0.887,4,-5.943,0,0.1,0.0259,4.57e-06,0.0655,0.637,146.358,audio_features,46gSk82duJtX3TTA182ruG,https://api.spotify.com/v1/tracks/46gSk82duJtX3TTA182ruG,https://api.spotify.com/v1/audio-analysis/46gSk82duJtX3TTA182ruG,218080,4
1550,Franz Ferdinand,No You Girls,spotify:track:4VP8QiCeaZq8BeTIUrMQOG,0.677,0.916,2,-4.102,0,0.0296,0.0086,7.68e-05,0.0967,0.878,104.78,audio_features,4VP8QiCeaZq8BeTIUrMQOG,https://api.spotify.com/v1/tracks/4VP8QiCeaZq8BeTIUrMQOG,https://api.spotify.com/v1/audio-analysis/4VP8QiCeaZq8BeTIUrMQOG,223787,4
1551,Franz Ferdinand,This Fire,spotify:track:3Obu3jvFSfgLF3pSbi64Vj,0.549,0.87,7,-9.453,1,0.0543,0.00249,2.08e-06,0.127,0.671,138.078,audio_features,3Obu3jvFSfgLF3pSbi64Vj,https://api.spotify.com/v1/tracks/3Obu3jvFSfgLF3pSbi64Vj,https://api.spotify.com/v1/audio-analysis/3Obu3jvFSfgLF3pSbi64Vj,254693,4
